x1,x2,x3,x4,x5,response
0,0,60.05355365,0,B,0
0,0,54.60128057,1,B,1
1,0,59.01945765,0,B,0
0,0,68.48837344,1,B,0
0,0,30.73639868,0,A,0
1,0,42.05155621,0,A,0
1,0,44.05849332,1,B,0
0,1,42.98369255,0,B,0
0,1,72.86036166,0,B,0
0,0,45.29402768,0,B,0
0,0,45.02364991,0,B,0
0,0,58.5018948,0,B,0
0,0,45.45579694,1,B,0
1,1,60.0865966,0,B,0
1,1,68.06642568,0,A,0
0,0,30.15618224,0,A,0
0,0,49.47887266,0,A,0
0,0,35.11344113,0,B,0
1,0,58.54377722,0,A,0
0,0,30.60855585,0,B,0
1,0,59.82514028,1,A,1
1,0,42.77406413,0,B,0
0,0,48.27790623,0,A,0
1,0,51.02149205,1,B,0
1,1,44.64672782,0,B,0
0,0,62.58313222,1,A,1
1,1,47.01634514,0,A,0
1,0,53.01891145,1,A,0
1,0,53.21683449,1,B,1
0,0,62.32403125,0,A,0
0,0,36.26573407,0,B,0
0,0,50.4857937,1,B,0
0,0,46.50676886,1,B,0
1,0,44.9600003,0,B,0
1,1,56.06892282,1,B,1
0,0,56.53571232,0,B,0
1,0,50.49686047,0,B,0
1,0,42.29925287,0,B,0
1,0,46.95953998,0,A,0
1,1,61.66972527,1,B,1
0,0,31.47955556,0,B,0
1,0,59.07020106,0,B,0
1,0,55.76353594,0,A,0
1,0,67.31126355,1,B,1
0,0,48.00954859,0,B,0
0,0,50.92127073,0,A,0
0,1,48.29526397,0,A,0
0,0,44.0059072,0,A,0
0,0,48.22653614,0,B,0
0,0,51.81270512,1,B,0
1,0,55.79144618,0,B,0
0,0,47.49350462,0,B,0
1,0,41.96725321,1,A,0
0,0,43.44070188,1,B,0
0,1,46.67316512,0,B,0
0,0,51.81315728,0,B,0
0,0,35.0134234,0,A,0
0,0,41.22141691,0,A,0
1,0,45.73299032,1,B,0
0,0,38.57188304,1,B,0
1,1,29.90191474,0,B,0
1,0,52.73699908,1,A,1
0,0,57.93047084,0,A,0
0,0,39.5601317,0,A,0
0,0,40.49885375,0,B,0
0,0,30.38423051,0,B,0
0,0,39.12656349,1,B,0
1,1,49.37873415,0,B,0
0,0,48.97176855,0,A,0
1,0,49.21955757,1,A,0
1,0,57.54281648,0,B,0
1,0,44.47112608,0,B,0
0,0,48.34145064,0,B,0
0,0,50.42256987,1,A,0
0,0,24.96053452,0,B,0
1,0,58.32891499,1,A,1
0,0,58.49775281,0,B,0
1,0,52.93727632,0,B,0
1,0,45.98489932,0,A,0
0,0,55.93000642,1,B,0
0,0,39.64869897,0,B,0
0,0,42.13355031,1,A,0
1,0,41.44002711,0,A,0
1,1,54.01418733,0,B,0
1,1,49.19771062,0,A,0
0,0,43.1842174,1,B,0
0,0,57.0875631,1,B,0
1,0,58.91294613,1,B,1
1,0,48.98476316,0,B,0
0,0,59.38549735,0,B,0
0,0,50.52764715,0,A,0
0,1,55.26511908,0,A,0
1,0,48.43054083,0,A,0
1,0,67.92515194,1,A,0
0,0,66.27987325,0,A,0
1,1,53.97049963,0,B,0
1,0,56.00244856,1,B,1
1,0,56.71883222,0,A,0
0,0,61.52409254,0,A,0
1,1,40.81832852,0,B,0
1,0,58.84168659,1,A,1
0,0,51.36152972,0,A,0
1,1,37.68906581,0,A,0
1,0,56.92033643,1,A,1
1,0,59.84718372,1,A,1
1,0,52.83796407,0,A,0
1,0,42.35134623,0,A,0
1,1,60.20814933,1,A,1
0,1,60.49328024,1,B,1
1,0,37.95722221,0,A,0
1,1,44.07150638,0,B,0
0,0,45.74331953,1,B,0
1,0,45.11755078,0,B,0
1,0,57.79629527,1,B,1
0,0,47.23969774,0,A,0
0,0,41.10323727,0,A,0
1,0,63.49627341,0,A,0
0,1,67.75529457,1,A,1
0,0,62.16399431,0,A,0
0,0,38.14241474,1,A,0
1,0,47.09029818,0,A,0
0,0,45.23371245,0,A,0
1,0,52.42516448,0,B,0
0,0,58.92588686,0,A,0
1,1,46.01091564,0,A,0
1,0,62.84003495,1,B,1
0,0,63.77049836,0,B,0
1,0,63.42151623,0,A,0
1,1,31.86664815,0,B,0
0,0,48.22496409,0,B,0
1,0,60.96940393,1,A,0
1,1,38.89311971,0,A,0
1,0,48.19897015,0,A,0
0,0,53.92614479,1,B,0
0,0,51.76569638,0,B,0
1,0,60.16421093,0,B,0
0,0,43.97947002,0,A,0
0,0,49.36939343,0,B,0
0,0,71.40406621,1,B,1
0,1,53.03529848,0,A,0
1,1,56.63501166,1,A,1
1,0,55.3201531,1,A,1
0,0,53.30853073,0,A,0
0,0,32.65625031,1,B,0
0,0,46.30692464,1,A,0
1,0,62.81088825,1,A,1
1,0,62.69696638,1,A,1
0,0,38.61012987,0,B,0
0,0,36.0413164,1,A,0
1,0,57.36815189,0,B,0
0,0,46.10395339,0,B,0
1,0,56.06757608,1,A,0
0,0,62.87683987,0,B,0
0,0,30.80885315,0,B,0
1,0,37.72151613,1,A,0
0,1,43.27308943,1,B,0
0,0,39.66322262,0,B,0
1,0,52.93702555,0,A,0
0,0,65.80034291,0,B,0
0,0,59.51063146,0,A,0
1,0,37.32138115,1,A,0
1,0,50.27896164,1,A,0
0,0,55.82696945,0,A,0
0,0,60.18541123,0,B,0
0,0,27.4055074,0,A,0
1,0,61.9503926,0,B,0
0,0,59.11730084,0,A,0
0,1,49.46572454,1,A,0
0,0,50.27370328,1,A,0
0,1,54.80119903,0,B,0
0,0,51.91656448,1,A,0
0,0,32.44068147,0,B,0
1,0,47.02727468,1,B,0
0,0,37.33165227,1,B,0
1,0,51.64972405,0,B,0
0,0,50.92399337,0,B,0
1,0,56.33866799,1,B,1
0,0,45.61517633,0,A,0
1,0,41.88183868,0,B,0
0,0,64.33258618,0,A,0
0,0,56.11390182,0,A,0
1,0,68.77931473,1,B,0
1,0,69.02774957,1,A,1
1,0,51.17920763,0,A,0
0,0,73.30786631,0,A,0
1,0,58.77657298,1,B,1
1,0,55.89055138,1,B,1
1,0,36.78387481,0,A,0
0,0,59.15331823,0,B,0
0,0,53.85608541,0,B,0
0,0,54.13665099,0,A,0
0,0,55.01007862,0,B,0
0,0,47.23947268,0,B,0
0,1,45.95743609,0,B,0
0,0,49.10981144,1,B,0
0,1,30.3344983,0,B,0
0,0,47.74232025,1,A,0
0,1,33.19838606,1,A,0
0,0,60.41939136,0,A,0
0,1,51.85615662,0,B,0
0,1,27.06311243,1,A,0
0,0,69.92677765,0,A,0
1,0,45.73266523,1,A,0
0,0,67.00077977,1,B,0
1,0,58.08604885,1,A,1
0,0,51.31142795,0,A,0
0,0,39.65502757,0,A,0
0,0,31.83455359,0,B,0
1,0,61.99262521,0,A,0
1,0,42.86745826,0,B,0
0,0,53.37641802,0,B,0
1,0,44.22528336,0,A,0
0,0,58.90033466,0,A,0
0,0,54.79272657,0,A,0
1,0,64.39283015,1,B,1
1,0,53.13081076,0,B,0
1,0,59.25992081,0,A,0
0,0,31.15911868,0,A,0
0,1,36.27616576,1,A,0
1,0,61.76797199,1,A,1
1,0,46.81195277,0,A,0
1,0,54.51222679,0,B,0
1,0,49.89489755,1,A,0
1,1,47.31026813,1,A,0
1,0,37.78748532,0,A,0
0,0,46.18691487,0,A,0
0,0,46.25411212,1,B,0
0,0,40.40609571,0,A,0
1,0,48.55722504,1,B,0
0,0,64.25740592,0,A,0
1,0,52.45705784,1,B,1
0,1,49.77520412,1,B,0
0,0,60.63889968,1,A,0
0,0,38.49906941,1,B,0
0,0,53.74274764,0,B,0
0,0,40.11344791,0,A,0
1,0,51.33083522,0,A,0
0,0,68.19201115,0,A,0
0,1,52.87059955,0,A,0
1,0,50.94181304,1,B,1
0,0,38.27770493,0,B,0
0,0,48.27014115,0,B,0
0,1,33.05001919,0,B,0
1,1,54.05277355,0,B,0
0,0,44.00790587,0,A,0
1,1,54.18449836,1,A,1
0,0,32.39722083,1,B,0
1,0,57.2503877,1,A,1
1,0,40.84494211,1,A,0
0,0,53.39324699,1,B,0
1,0,50.29749671,0,B,0
0,0,41.65389572,0,A,0
0,0,67.88318406,0,A,0
1,0,44.61418701,1,A,0
0,0,32.87037872,0,A,0
1,0,48.71555529,0,A,0
0,0,42.05592469,0,B,0
0,0,46.39921136,1,A,0
0,0,47.32549906,0,B,0
0,0,60.03404584,1,A,1
1,0,65.81176904,0,A,0
1,0,44.97381974,0,A,0
1,0,66.83603631,1,A,1
1,1,42.57280971,0,B,0
0,0,39.0387707,0,B,0
0,0,54.91980718,1,A,0
0,0,56.26276269,0,A,0
1,0,57.82468684,1,A,1
1,0,50.25460283,0,B,0
0,0,62.15091607,0,B,0
0,0,47.19538805,0,B,0
1,1,49.99523356,1,A,1
0,0,54.7485544,0,A,0
1,0,60.43911037,0,B,0
1,0,54.65316194,0,B,0
1,0,47.26935739,0,B,0
1,0,63.51825617,1,B,1
1,0,59.15113343,1,B,1
0,0,49.15186182,0,B,0
0,1,54.85920307,1,A,0
0,0,55.46927553,0,A,0
0,0,58.21396578,0,A,0
0,0,64.11758863,0,B,0
0,0,49.92686654,0,B,0
0,1,44.07861438,1,A,0
1,0,54.61139688,1,A,1
0,0,57.70396328,0,A,0
0,0,38.62166949,0,B,0
1,0,55.49653613,0,B,0
1,0,57.70510072,1,A,0
1,0,55.09239759,1,B,0
1,0,43.755798,0,B,0
1,0,43.3941418,0,B,0
0,1,68.1139982,1,B,1
0,0,41.17636881,0,A,0
0,0,46.33460414,0,A,0
0,0,76.97044254,0,B,0
0,0,62.14391668,0,A,0
1,0,46.6091962,1,B,0
0,0,36.7343524,0,B,0
1,0,44.75134844,0,B,0
0,0,55.42947903,0,B,0
1,0,62.40910362,1,A,1
1,1,65.2625238,1,A,1
0,0,58.45555579,0,B,0
0,0,59.54335637,0,B,0
0,1,55.33401972,0,A,0
0,0,55.01354914,1,A,1
0,1,43.48566877,0,B,0
1,0,60.77300515,0,A,0
1,1,70.01903394,1,A,1
0,0,50.83015882,0,A,0
1,0,43.4377527,0,A,0
0,0,57.24249083,0,B,0
1,0,58.80665991,1,B,1
1,0,42.78798078,0,B,0
0,0,48.77307088,0,A,0
1,0,55.83011699,0,A,0
0,0,54.33189462,0,B,0
1,0,42.11846802,0,B,0
1,1,67.03547755,1,A,1
1,0,63.04499905,0,B,0
1,1,37.84586167,0,B,0
0,0,43.30611813,1,A,0
1,0,58.11083369,0,B,0
0,0,54.94931254,0,A,0
1,0,35.19348296,0,B,0
0,0,52.3235534,1,A,0
0,1,42.66350759,0,B,0
0,0,69.66437034,1,A,0
0,0,53.90407187,0,A,0
1,0,53.58280964,0,B,0
0,0,40.33236312,0,B,0
0,0,44.56278557,1,B,0
1,0,42.97413909,1,A,0
1,1,61.48350209,0,A,0
0,0,78.86961934,0,A,0
1,0,68.10832058,1,B,0
0,0,58.98380343,0,B,0
0,0,52.60076964,0,B,0
0,0,50.09484125,0,B,0
1,1,34.39424445,1,B,0
0,1,56.68759512,1,A,0
0,0,40.02560419,0,A,0
1,0,64.11871247,1,B,0
1,0,57.37990669,0,A,0
0,0,37.00624585,0,B,0
0,0,59.55595821,0,B,0
1,0,63.44893694,0,B,0
0,1,58.10015867,1,A,0
0,0,50.53441936,0,A,0
1,0,48.27201077,0,A,0
1,0,55.61116116,0,A,0
1,1,39.38327295,0,B,0
1,0,58.04498262,1,B,0
0,0,41.74834907,0,B,0
1,0,44.64767987,0,A,0
0,0,37.43464421,0,B,0
1,1,63.45126547,1,B,1
0,0,48.90320189,0,B,0
0,0,47.4470804,0,B,0
0,0,28.00622709,0,B,0
0,0,48.4506732,0,B,0
0,0,50.33285834,0,B,0
1,1,51.97806392,0,B,0
0,0,45.64187699,0,A,0
1,0,40.35326436,0,A,0
1,0,54.59941051,0,A,0
0,0,45.62695874,0,A,0
1,0,64.67658852,0,B,0
0,0,71.54502311,0,A,0
1,0,48.92721653,0,A,0
0,0,44.6850153,0,A,0
1,0,41.13134866,0,B,0
1,1,57.932651,1,A,1
1,0,69.99575884,1,A,1
0,0,57.18140751,0,A,0
0,1,55.49007789,0,B,0
1,1,46.5305809,1,A,0
1,0,37.49446824,0,A,0
0,0,41.05032774,0,A,0
1,0,53.86363012,0,A,0
0,0,62.79958213,1,A,1
0,0,30.6833179,0,A,0
0,0,67.18331836,0,B,0
0,0,61.92373338,0,B,0
0,0,69.19848292,0,A,0
1,0,63.29844319,0,B,0
0,1,59.67211868,1,B,1
0,1,42.60882873,0,A,0
0,1,64.9438994,1,A,1
1,1,48.67783758,0,A,0
0,0,45.69320355,0,A,0
1,1,48.25908367,0,B,0
0,0,48.20892949,0,A,0
1,0,47.41474051,1,A,0
0,0,61.40739966,1,A,0
0,0,47.50527656,0,B,0
0,0,38.93481882,1,A,0
1,0,51.71865333,0,B,0
0,0,44.51025241,1,B,0
1,0,61.16363043,0,A,0
0,0,50.63896104,0,B,0
0,0,61.85513329,0,B,0
1,0,45.66167551,1,B,0
0,0,42.3321611,0,B,0
1,1,60.36646172,1,A,1
0,0,54.75044137,0,B,0
0,0,63.89002011,1,A,0
1,0,56.00118513,0,B,0
0,0,63.97212972,1,B,1
0,1,75.64970435,0,A,0
1,0,57.04440315,1,B,1
0,0,55.6244382,1,A,1
1,0,35.52169392,0,A,0
0,0,55.48978348,0,B,0
1,0,44.90496078,1,B,0
1,0,54.48999895,1,A,1
1,0,61.8908126,0,B,0
0,1,35.83400582,1,B,0
0,0,48.71185218,0,B,0
0,0,46.07433628,0,A,0
1,1,66.80340312,0,B,0
0,0,70.09980863,0,B,0
0,0,37.09618444,0,B,0
0,0,53.73976157,0,B,0
1,0,49.4033893,0,B,0
1,0,29.61894953,1,A,0
0,0,42.26653598,1,A,0
1,1,42.03995357,0,A,0
1,0,68.7584243,1,A,1
0,0,77.66716583,0,A,0
1,0,52.63745009,1,A,1
1,1,35.36182913,0,B,0
1,0,68.21221978,1,A,1
1,0,55.45281922,0,A,0
0,1,58.06128669,1,A,1
1,0,59.65064186,1,B,1
0,0,43.21530311,0,A,0
1,0,60.19807607,1,B,1
0,1,50.89399016,1,B,0
1,0,63.35349305,1,A,1
0,0,51.97535643,0,A,0
0,0,33.82509057,0,B,0
0,0,66.11528786,1,A,0
1,0,43.18637177,0,B,0
0,0,48.72157268,0,A,0
0,0,51.46779316,0,B,0
0,1,47.64589822,0,A,0
1,0,53.86137081,1,B,1
0,0,48.77951249,0,A,0
1,0,62.06743498,0,A,0
0,0,48.90911714,0,B,0
0,0,60.02519128,0,A,0
0,0,44.79905292,0,B,0
1,0,58.96055867,1,B,1
1,0,65.77111196,0,A,0
0,1,44.85587708,0,A,0
0,0,45.3780351,0,B,0
0,0,56.55336327,1,A,1
1,0,65.91571426,0,A,0
1,0,63.72537525,1,B,1
1,1,46.52170432,0,A,0
0,0,48.45998881,1,B,0
1,0,56.21111203,0,B,0
1,0,53.44078081,0,A,0
1,0,62.93580564,1,A,1
1,0,58.3184921,0,B,0
1,1,50.85439394,0,B,0
0,1,42.58355631,0,B,0
0,0,40.772639,1,B,0
0,0,54.50616231,1,A,1
1,1,44.86729597,0,B,0
0,0,47.47851236,1,A,0
0,0,38.906582,0,A,0
1,1,43.20568953,0,B,0
0,1,46.03582647,0,B,0
0,0,55.26318614,0,A,0
1,0,31.8635526,0,A,0
1,0,50.45410446,1,B,0
0,1,38.42034319,0,B,0
1,0,68.77027607,1,A,1
0,0,46.5141602,0,B,0
0,0,56.00347703,0,A,0
1,0,54.6695842,0,B,0
0,0,36.41406455,0,A,0
1,1,46.73121029,0,B,0
1,0,49.65378841,0,B,0
1,0,66.62528532,1,A,1
0,0,51.61334826,0,B,0
1,0,64.53000054,1,B,1
1,0,53.15338184,0,B,0
0,0,34.88016582,1,A,0
0,1,55.8924037,0,B,0
1,0,42.27960081,0,A,0
1,0,61.65272694,1,B,1
0,0,63.30492365,0,B,0
1,0,36.48398544,0,B,0
1,0,53.27593981,0,A,0
0,0,50.72910238,0,B,0
0,1,48.18869208,0,B,0
0,0,62.706559,1,A,1
1,0,57.6273745,0,B,0
0,0,45.01646321,0,A,0
0,1,47.04146945,0,A,0
0,0,64.32755372,0,B,0
0,0,60.3754635,1,B,1
1,0,31.64048403,0,B,0
0,0,44.62434221,0,B,0
0,1,57.82090821,1,B,1
1,0,53.70111603,1,A,0
1,1,38.57402013,0,B,0
0,0,38.97172248,0,A,0
0,0,49.07403404,1,A,0
1,0,50.37115409,1,A,1
0,1,46.08666058,0,A,0
1,0,39.81669038,0,A,0
1,1,50.69605941,0,B,0
1,0,53.37858397,0,B,0
1,0,47.68698512,1,A,0
1,0,60.3698817,1,B,1
1,1,45.5351366,0,A,0
1,0,60.81212883,1,A,1
0,0,44.98132146,0,B,0
1,0,57.11480661,1,B,1
0,0,62.06717091,0,B,0
1,1,44.5478525,0,B,0
0,1,49.96555067,0,B,0
1,0,29.38562046,1,A,0
0,0,53.81782677,0,B,0
0,0,41.19836279,0,B,0
0,0,48.04881081,0,B,0
1,0,62.03065059,0,A,0
0,0,45.25291391,0,A,0
1,0,58.26785324,1,B,1
0,0,38.91426916,0,A,0
1,0,63.79633008,1,A,1
0,0,27.95232089,0,A,0
1,0,40.49757481,1,B,0
0,0,51.38588328,0,B,0
0,0,65.0942664,0,B,0
1,0,60.98579735,0,A,0
1,0,23.4244725,0,A,0
1,1,65.34043159,1,B,1
0,0,43.28519573,0,B,0
0,1,47.43409091,1,A,0
1,0,50.99317255,0,B,0
0,0,44.01873608,0,A,0
1,0,45.91584506,0,B,0
1,0,67.54655684,1,A,1
1,0,39.8278673,1,A,0
0,0,60.05955974,1,A,1
0,0,51.35148534,0,B,0
0,1,44.1874338,0,B,0
0,0,51.05313269,0,A,0
0,0,31.53507035,1,B,0
0,0,57.32075249,1,B,1
1,0,50.9684609,0,A,0
1,0,69.98538229,1,B,1
1,0,46.78140494,1,B,0
1,0,59.0563093,1,B,1
0,0,39.78316559,0,B,0
1,0,42.07675416,0,A,0
1,0,55.93709449,1,B,1
1,0,47.1128848,0,A,0
0,0,67.94637613,1,A,1
1,0,59.74268995,1,A,1
0,0,41.79130768,0,B,0
1,0,52.09808568,1,A,0
1,0,57.7014857,0,A,0
1,0,57.96432161,1,A,1
0,1,67.91352999,1,A,0
1,0,62.50499485,1,A,1
0,0,47.79036663,0,B,0
0,0,50.59360633,0,A,0
1,1,55.64266629,1,A,1
0,1,49.9114456,0,A,0
0,0,39.5510938,0,B,0
1,0,58.37185643,0,B,0
1,0,52.93598686,0,B,0
1,0,49.75659428,1,A,0
1,0,51.87367337,1,A,0
0,0,59.76876915,1,B,0
1,1,42.54333136,0,B,0
1,0,55.86466995,0,B,0
0,1,48.86328954,0,B,0
1,0,58.3641485,1,A,1
0,0,43.18059202,0,A,0
1,0,62.63482072,1,B,0
1,0,62.97908007,1,A,1
1,0,59.85108123,1,B,1
1,0,38.05234103,0,B,0
1,0,56.21199529,1,B,1
1,0,38.25362985,0,A,0
0,0,68.64229806,0,A,0
1,0,47.83203315,1,A,0
0,0,57.98791001,0,A,0
1,0,40.89323518,0,B,0
0,0,55.41483693,0,B,0
0,0,30.9541269,0,B,0
0,0,52.12825926,0,A,0
1,0,57.48321926,1,B,1
0,0,36.77029322,1,B,0
1,0,48.78803115,0,A,0
0,0,49.04657938,0,B,0
1,0,55.72367218,0,A,0
0,0,56.99936588,1,B,1
0,0,38.24100991,0,A,0
1,0,55.68989197,1,B,1
0,0,56.35112244,0,A,0
1,0,54.31412128,0,B,0
1,0,50.59631626,1,A,0
1,0,44.38545953,0,A,0
1,0,62.11186471,0,A,0
0,0,49.27219585,1,B,0
0,0,61.81015773,0,A,0
1,1,61.51152933,0,B,0
1,0,57.4427747,0,A,0
1,0,55.01505824,0,B,0
1,1,53.65180298,1,B,0
1,0,47.59279444,0,B,0
1,0,57.41672955,0,B,0
0,0,54.87469254,1,A,0
1,0,60.64488534,1,A,1
0,0,49.24160747,0,B,0
0,0,76.8392454,0,A,0
0,1,61.12531654,0,A,0
0,0,50.3991101,0,B,0
1,0,49.30765892,1,B,0
0,0,40.70861798,0,A,0
0,0,26.58274528,0,B,0
1,0,65.62362784,0,A,0
1,0,52.21018435,0,B,0
1,0,65.06744417,1,A,1
0,1,61.46930535,0,B,0
0,0,45.13481663,0,B,0
1,0,58.04617431,1,B,1
1,0,35.85759821,0,A,0
0,0,46.80413051,1,A,0
1,0,40.09459956,0,A,0
0,1,37.66452142,0,B,0
1,0,40.9901235,0,B,0
0,0,46.46989306,1,A,0
0,1,44.89723386,0,B,0
1,0,42.47683327,0,A,0
1,0,50.68681982,0,B,0
1,0,52.18019018,0,A,0
1,1,40.22589191,0,A,0
1,0,56.10824299,1,A,1
0,1,55.52558551,0,A,0
1,0,45.93881218,1,A,0
1,0,52.95754236,0,A,0
1,0,61.49016051,1,B,1
0,0,35.51050761,0,B,0
1,0,37.68970438,0,A,0
0,1,66.86146312,0,A,0
0,0,54.08248463,0,A,0
1,0,65.66248023,0,A,0
1,0,43.52326468,0,A,0
0,0,40.19570332,0,B,0
1,0,67.26961375,1,A,1
0,0,43.52129248,0,B,0
1,0,52.16922072,0,A,0
1,0,41.03530264,0,A,0
1,0,35.92333319,0,B,0
1,0,44.76540963,0,A,0
1,0,41.71167204,0,B,0
0,0,50.74748445,0,B,0
1,0,55.87250244,0,B,0
1,0,61.58939568,1,A,1
0,0,55.82847357,0,B,0
0,0,31.7332526,0,A,0
1,0,52.14503594,1,B,1
1,0,60.65773197,1,A,1
0,0,50.4454747,0,A,0
0,0,42.13007572,0,A,0
1,0,38.23325327,1,A,0
1,1,58.6533373,1,A,1
0,0,33.59879714,0,B,0
1,1,53.04756043,0,A,0
1,0,56.13236394,0,B,0
0,0,33.27134824,0,B,0
0,0,63.56573569,1,A,1
1,0,53.38677279,0,B,0
0,0,62.21076305,0,A,0
0,0,58.7362244,0,A,0
